source,destination,hamming_distance_ups,hamming_distance_downs,hamming_distance_LR,hamming_distance_total,fitts_ratio,normalized_fitts_ratio
5,57,0,0,14,14,3.0071548014693223,2.0567230704464023
5,58,0,2,9,11,1.7544586059522749,1.1999500289250704
5,59,0,2,2,4,0.4046067489156384,0.2767280336038922
5,60,0,2,15,17,0.5631727895828834,0.3851781984807774
5,61,0,1,17,18,0.5376443738339673,0.36771821218506423
5,62,0,2,16,18,0.2938276888650926,0.20096144905127808
5,63,0,2,3,5,0.5297739431483982,0.36233528465587606
5,64,0,1,27,28,0.40834184749210467,0.27928262886744704
5,65,0,1,26,27,0.22664667078716655,0.15501344873236036
5,66,0,1,25,26,0.17669211988538663,0.12084737345639557
5,67,0,1,24,25,0.26292573827538496,0.17982627015440447
